name,Date,datetime,Open,High,Low,Close,Volume,adj_close,ret,mon,momentum_total,momentum,runmeanPrice,price_mon,pprice,runmeanVol,runmeanVol50,volume_mon,vol,gray,blue,yellow,green
PEOPLEUSDT,2022-07-04 20:00:00,1656979200000,0.02499,0.02557,0.02328,0.02434,473181989.4,0.02434,-0.026789284286285464,0,8.0,0,0.024396666666666667,-0.2322721683290067,0,675260107.3066667,1610669933.64,-58.075823407181474,0,0,0,0,0
JUVUSDT,2022-07-04 20:00:00,1656979200000,3.66,4.14,3.63,3.68,388272.85,3.68,0.008219178082191858,1,8.0,0,3.7006666666666663,-0.5584579355071024,0,241837.6466666667,634802.1258,-61.90345985973277,0,0,0,0,0
ATMUSDT,2022-07-04 20:00:00,1656979200000,3.17,3.22,3.08,3.12,88982.97,3.12,-0.01577287066246047,0,8.0,0,3.1540000000000004,-1.0779961953075539,0,242607.30466666652,651262.9312,-62.748178493800545,0,0,0,0,0
TRUUSDT,2022-07-04 20:00:00,1656979200000,0.0676,0.0694,0.0628,0.0661,10094984.0,0.0661,-0.02507374631268422,0,7.0,0,0.06604666666666667,0.08075098415262308,0,48480678.86666667,22525391.36,115.22679935655809,1,0,0,0,0
STRAXUSDT,2022-07-04 20:00:00,1656979200000,0.734,0.787,0.676,0.686,4166364.5,0.686,-0.06412005457025916,0,7.0,0,0.7415333333333333,-7.488986784140954,0,11432019.293333333,5416722.208,111.05049981055505,1,0,0,0,0
GTOUSDT,2022-07-04 20:00:00,1656979200000,0.01968,0.01986,0.0177,0.01811,53057382.1,0.01811,-0.08024377856780085,0,7.0,0,0.018352,-1.3186573670444592,0,254025581.2666667,136848094.714,85.6259539437191,1,0,0,0,0
DNTUSDT,2022-07-04 20:00:00,1656979200000,0.0469,0.0481,0.0454,0.0459,9142905.0,0.0459,-0.023404255319148914,0,7.0,0,0.04479333333333334,2.4706057449025125,0,54993233.06666667,31537465.22,74.37429635845247,1,0,0,0,0
HIVEUSDT,2022-07-04 20:00:00,1656979200000,0.4544,0.4592,0.4285,0.4358,2050261.0,0.4358,-0.04177660510114323,0,7.0,0,0.4621,-5.691408785977059,0,9129239.0,5468575.663,66.93997784044193,1,0,0,0,0
YFIIUSDT,2022-07-04 20:00:00,1656979200000,1015.5,1023.0,923.3,929.6,4249.838,929.6,-0.08494930603405848,0,7.0,0,1019.4933333333333,-8.817451806125916,0,23951.529453333336,15196.63663392,57.61072683590906,1,0,0,0,0
PNTUSDT,2022-07-04 20:00:00,1656979200000,0.2127,0.2193,0.2048,0.2107,4336974.0,0.2107,-0.01033348990136218,0,7.0,0,0.20866,0.9776670181155881,0,7778089.666666667,5185550.16,49.99545711976426,1,0,0,0,0
FIDAUSDT,2022-07-04 20:00:00,1656979200000,0.3947,0.3989,0.383,0.3848,2426763.6,0.3848,-0.025082341018495158,0,7.0,0,0.36664666666666673,4.951179155226623,0,4674465.1,3316025.1539999996,40.965911985358844,1,0,0,0,0
ARPAUSDT,2022-07-04 20:00:00,1656979200000,0.03816,0.03888,0.03581,0.0362,64303526.5,0.0362,-0.05185961236249337,0,7.0,0,0.038295333333333334,-5.4715108890552315,0,181932893.7,135623736.884,34.14531842284257,1,0,0,0,0
RNDRUSDT,2022-07-04 20:00:00,1656979200000,0.526,0.528,0.48,0.493,3080276.79,0.493,-0.06095238095238098,0,7.0,0,0.5244666666666666,-5.99974577348417,0,10965408.174666667,8186383.507599998,33.94691519749477,1,0,0,0,0
QUICKUSDT,2022-07-04 20:00:00,1656979200000,55.1,58.0,50.9,52.3,15095.918,52.3,-0.05253623188405809,0,7.0,0,52.373333333333335,-0.14002036659878633,0,34115.0954,26201.06656,30.204987349950073,1,0,0,0,0
API3USDT,2022-07-04 20:00:00,1656979200000,2.083,2.262,1.959,2.045,5655678.08,2.045,-0.017299375300336428,0,7.0,0,1.7938,14.003790835098664,0,3764000.2266666666,2993942.7106,25.720516072010728,1,0,0,0,0
ERNUSDT,2022-07-04 20:00:00,1656979200000,1.381,1.397,1.303,1.33,326194.3,1.33,-0.04178674351584999,0,7.0,0,1.3741999999999999,-3.2164168243341438,0,1101547.1,911552.89,20.8429167505574,1,0,0,0,0
MCUSDT,2022-07-04 20:00:00,1656979200000,0.834,0.9,0.742,0.759,3545786.61,0.759,-0.0888355342136854,0,7.0,0,0.7482000000000001,1.44346431435444,0,1197261.594,1017824.5658,17.629465256516415,0,0,0,0,0
FRONTUSDT,2022-07-04 20:00:00,1656979200000,0.1993,0.2018,0.1869,0.1894,2816978.0,0.1894,-0.05062656641604013,0,7.0,0,0.19296,-1.844941956882245,0,6739433.533333333,5860341.78,15.000690852766832,0,0,0,0,0
UNIUSDT,2022-07-04 20:00:00,1656979200000,5.35,5.45,5.01,5.1,2123473.33,5.1,-0.04672897196261683,0,7.0,0,5.182666666666666,-1.5950604579367078,0,3863513.0820000004,3371549.0365999998,14.591632512517636,0,0,0,0,0
